tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row href,tablescraper-selected-row 3,tablescraper-selected-row href 2,tablescraper-selected-row 4,tablescraper-selected-row href 3,tablescraper-selected-row 5,tablescraper-selected-row href 4,tablescraper-selected-row 28
First Presidential Weekly Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamafirstweeklyaddressARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/weeklyaddresses/barackobamaweekly1.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20First%20Presidential%20Weekly%20Address.pdf,24 Jan 2009
Al-Arabiya Television Interview,,,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamaal-arabiya.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Al-Arabiya%20Interview.pdf,26 Jan 2009
Executive Compensation Salary Cap Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamaexecutivecompensationARXE.mp3,,,PDF,https://www.americanrhetoric.com/speeches/barackobama/barackobamaexecutivecompensation.htm,,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Economic%20Crisis%20and%20Executive%20Compensation%20Salary%20Cap.pdf,04 Feb 2009
First Prime Time Press Conference,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamafirstpresidentialpresserARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20First%20Presidential%20Prime%20Time%20Presser.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamafirstprimetimepressconference.htm,,,09 Feb 2009
Abraham Lincoln D.C. Bicentennial Celebration Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamaabrahamlincolnbicentennialdcspeech.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Lincoln%20Bicentennial.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamalincolnbicentennialspeech.htm,,,12 Feb 2009
Lincoln Association 102nd Birthday Banquet Speech,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamalincoln200banquetARXE.mp3,,,,https://www.americanrhetoric.com/speeches/barackobama/barackobamalincolnbirthdaybanquet.htm,,,12 Feb 2009
State of the Nation Address to Congress Speech,mp3,https://www.americanrhetoric.com/mp3clips/stateoftheunion/barackobama2009jointsessionspeech.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20State%20of%20the%20Nation%202009.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamajointsession2009.htm,,,24 Feb 2009
Ending the Iraq War at Camp Lejeune Speech,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamacamplejeune2009.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Iraq%20War%20Camp%20Lejeune.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamacamplejeune2009.htm,,,27 Feb 2009
Speech to Hispanic Chamber of Commerce,mp3,https://www.americanrhetoric.com/mp3clips/barackobama/barackobamacompetitiveeducationhispaniccoc.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20Hispanic%20Chamber%20of%20Commerce.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamahispanicchamberofcommerce.htm,,,10 Mar 2009
G-20 London Economic Summit Press Conference,mp3,https://www.americanrhetoric.com/mp3clipsXE/barackobama/barackobamag20pressconferenceARXE.mp3,PDF,https://www.americanrhetoric.com/speeches/PDFFiles/Barack%20Obama%20-%20G20%20Remarks%20and%20Presser%202009.pdf,,https://www.americanrhetoric.com/speeches/barackobama/barackobamag20summitpressconference.htm,,,02 Apr 2009
